order_id,customer_email,billing_country,shipping_country,amount,is_first_time_buyer,payment_avs_result,payment_cvv_result,num_orders_last_7_days,chargeback_flag
81,unxwqe@outlook.com,IN,IN,211.33,0,Y,Y,1,0
82,hzlcmy@outlook.com,IN,IN,1128.48,0,Y,Y,0,0
83,wammfj@protonmail.com,AU,CA,1480.7,0,Y,Y,3,0
84,qefeag@yahoo.com,UK,CA,115.21,0,Y,Y,0,0
85,yxnnky@yahoo.com,AU,AU,354.42,0,Y,Y,1,0
86,wzckco@gmail.com,AU,AU,31.57,0,Y,Y,0,0
87,jxywik@gmail.com,CA,AU,521.49,0,Y,Y,1,0
88,rrekjf@outlook.com,IN,IN,891.13,1,Y,Y,1,0
89,jtowdo@gmail.com,US,IN,60.22,0,Y,Y,4,0
90,qmwgzs@outlook.com,US,US,460.35,0,Y,Y,3,0
91,iteiqp@gmail.com,IN,IN,1032.29,1,Y,Y,2,0
92,wrlfac@protonmail.com,CA,CA,355.65,0,Y,Y,1,0
93,aidzsq@yahoo.com,US,US,383.53,1,Y,Y,0,0
94,pezjza@outlook.com,CA,CA,106.77,1,Y,Y,1,0
95,vhxwaq@gmail.com,CA,CA,58.89,0,Y,Y,1,0
96,ryktyi@yahoo.com,AU,AU,510.35,1,Y,Y,0,0
97,ysbjqu@yahoo.com,CA,CA,43.76,0,Y,Y,1,0
98,nvniwr@protonmail.com,IN,IN,276.78,0,Y,Y,2,0
99,ozgyzg@outlook.com,IN,AU,1141.71,0,N,Y,1,1
100,werzys@protonmail.com,IN,IN,550.35,1,Y,Y,3,0
101,ulwvlu@yahoo.com,CA,CA,109.62,0,N,Y,5,1
102,ukydhy@yahoo.com,IN,IN,36.97,0,Y,Y,0,0
103,hhrlhx@outlook.com,US,US,600.56,0,Y,Y,4,0
104,oclwvp@outlook.com,AU,AU,2801.99,0,Y,Y,5,1
105,pbddlf@protonmail.com,IN,IN,142.77,0,Y,Y,1,0
106,exkncc@gmail.com,IN,IN,130.8,1,Y,Y,4,0
107,pdpbji@protonmail.com,AU,AU,138.59,1,Y,Y,1,0
108,qohxhm@gmail.com,CA,CA,213.94,0,N,Y,3,0
109,tfoidt@yahoo.com,IN,IN,95.2,1,Y,Y,3,0
110,kaqrzd@yahoo.com,CA,CA,1422.05,1,Y,Y,1,1
111,dgsowt@yahoo.com,UK,UK,155.35,1,Y,Y,2,0
112,ksxlpb@gmail.com,US,US,803.52,0,Y,Y,3,0
113,azgwan@yahoo.com,US,US,574.51,1,Y,Y,2,0
114,mfyxwx@protonmail.com,CA,IN,786.61,1,Y,Y,3,1
115,udorkq@yahoo.com,AU,AU,369.42,1,Y,Y,3,0
116,gsxnrp@outlook.com,IN,IN,574.22,0,Y,Y,1,0
117,naohsu@gmail.com,UK,UK,1581.43,1,Y,Y,0,1
118,nmzbmj@gmail.com,UK,UK,163.86,1,Y,Y,1,0
119,bpdlxd@gmail.com,US,IN,58.69,1,Y,Y,2,0
120,wwqpsd@yahoo.com,UK,UK,164.23,1,Y,Y,1,0
121,ydixkk@outlook.com,CA,CA,226.86,1,Y,N,2,0
122,jcvwcp@protonmail.com,CA,CA,83.31,0,N,Y,2,1
123,hnfrra@outlook.com,US,US,273.2,0,Y,Y,2,1
124,abycfp@yahoo.com,AU,UK,244.28,0,Y,Y,3,0
125,sefnui@outlook.com,UK,IN,144.71,1,Y,Y,3,1
126,feoxpp@yahoo.com,CA,CA,35.2,0,Y,Y,3,0
127,yaunet@outlook.com,IN,US,475.3,1,Y,N,0,1
128,zsntzw@protonmail.com,CA,CA,748.15,0,Y,Y,4,0
129,qnqlpx@outlook.com,AU,AU,58.32,0,Y,Y,3,0
130,qxseod@gmail.com,AU,AU,384.72,1,Y,N,2,0
131,uoemrc@outlook.com,AU,CA,34.01,0,Y,Y,3,0
132,vuzjeo@protonmail.com,AU,AU,950.11,1,Y,Y,2,1
133,gyfifd@outlook.com,AU,AU,614.42,0,Y,N,1,1
134,pkgbkr@outlook.com,IN,IN,285.2,0,Y,Y,1,0
135,mojvwl@outlook.com,UK,UK,501.17,0,Y,Y,2,0
136,rioatc@outlook.com,IN,IN,148.69,0,Y,Y,1,0
137,mqozpo@gmail.com,AU,AU,309.64,1,Y,Y,2,0
138,omjdns@yahoo.com,CA,CA,38.06,0,Y,N,2,1
139,fuvmsp@protonmail.com,AU,AU,1530.11,0,N,Y,3,1
140,vrcphk@yahoo.com,CA,CA,568.86,0,Y,N,0,0
141,weazxj@protonmail.com,AU,AU,931.71,0,Y,Y,5,1
142,lwecsc@protonmail.com,UK,UK,245.29,1,Y,Y,1,0
143,ccchdv@protonmail.com,UK,UK,940.72,1,Y,Y,2,1
144,ivialk@protonmail.com,IN,IN,277.38,1,Y,Y,0,0
145,zikqqs@yahoo.com,IN,IN,247.01,1,Y,Y,1,0
146,fiwznc@protonmail.com,AU,AU,234.96,1,Y,Y,0,0
147,kbrsvg@yahoo.com,UK,UK,248.99,0,Y,Y,4,0
148,ylilga@protonmail.com,UK,UK,47.97,1,Y,Y,1,0
149,wcepca@outlook.com,IN,IN,751.11,0,Y,Y,2,0
150,flpotr@gmail.com,AU,CA,355.15,1,Y,Y,2,0
151,gwqytn@protonmail.com,UK,UK,39.97,0,N,Y,3,0
152,qreqyx@gmail.com,CA,CA,216.23,0,Y,Y,3,0
153,ueaygm@gmail.com,CA,CA,417.51,0,Y,Y,1,0
154,afkgto@outlook.com,UK,UK,138.75,0,Y,Y,1,0
155,nikfnm@protonmail.com,US,US,271.53,1,Y,N,0,0
156,nzieug@protonmail.com,CA,CA,57.24,0,N,Y,1,0
157,txiqxr@outlook.com,CA,AU,349.41,0,Y,Y,4,0
158,tczxmc@gmail.com,IN,IN,387.18,1,Y,Y,2,0
159,vufggz@outlook.com,IN,UK,365.37,0,Y,Y,4,0
160,fwazuw@gmail.com,CA,CA,369.4,1,Y,Y,0,0
161,ewtppl@gmail.com,IN,AU,807.09,1,Y,Y,1,0
162,lbwvlv@outlook.com,CA,CA,184.07,0,Y,Y,5,0
163,kxurfa@protonmail.com,UK,IN,785.33,0,Y,Y,3,0
164,rjysxs@yahoo.com,UK,UK,1691.12,0,Y,Y,5,1
165,tzlfqa@gmail.com,CA,CA,91.22,0,Y,Y,0,0
166,cvgdlw@outlook.com,US,US,188.16,0,Y,Y,2,0
167,hrroir@yahoo.com,UK,IN,48.49,1,Y,Y,1,1
168,epurej@outlook.com,CA,CA,67.94,1,Y,Y,4,0
169,svxgfy@gmail.com,UK,UK,83.04,1,Y,Y,2,1
170,odszhf@protonmail.com,US,US,315.43,0,Y,Y,1,0
171,ejyzdr@protonmail.com,UK,CA,144.21,1,Y,N,1,1
172,voyind@outlook.com,US,UK,321.46,0,Y,Y,2,1
173,kuvurr@gmail.com,CA,CA,1021.88,1,Y,Y,2,1
174,trlyvc@protonmail.com,UK,UK,1034.71,0,Y,Y,1,0
175,pvsqzh@gmail.com,IN,IN,533.07,0,Y,Y,0,0
176,wuhsnm@outlook.com,IN,IN,507.28,0,Y,Y,2,0
177,ravolw@protonmail.com,IN,UK,1566.94,0,Y,Y,1,1
178,evmmfz@gmail.com,US,US,360.05,0,N,Y,3,0
179,vpqpvo@protonmail.com,US,US,500.83,0,Y,N,1,0
180,lgbtav@outlook.com,US,US,143.91,0,Y,Y,3,0
181,kfwiyv@yahoo.com,CA,CA,150.8,1,Y,Y,3,0
182,jzczjz@gmail.com,IN,CA,101.05,0,Y,Y,1,0
183,incnmh@outlook.com,IN,IN,371.63,0,Y,Y,5,0
184,brmcku@protonmail.com,CA,CA,2182.18,0,Y,Y,1,0
185,uezgfy@yahoo.com,IN,IN,113.73,0,Y,Y,0,0
186,gamtim@protonmail.com,UK,UK,198.16,0,Y,Y,3,0
187,kgupoz@gmail.com,CA,CA,243.56,0,Y,Y,3,0
188,rxbmbw@outlook.com,UK,US,410.36,0,Y,Y,3,1
189,vpzahc@yahoo.com,IN,AU,47.15,0,Y,Y,3,1
190,nfgtnm@gmail.com,CA,AU,430.34,1,N,N,3,1
191,zmrogh@gmail.com,CA,CA,844.11,0,Y,Y,1,0
192,judmcg@protonmail.com,UK,UK,155.07,0,Y,Y,2,0
193,jflbzz@protonmail.com,UK,IN,57.82,1,Y,Y,2,0
194,dadwoi@outlook.com,IN,IN,1431.93,0,Y,Y,1,0
195,mfsfvr@yahoo.com,AU,CA,162.82,1,Y,Y,0,1
196,yhfpxt@protonmail.com,IN,IN,87.48,0,Y,Y,1,0
197,xvpbhj@outlook.com,CA,CA,389.61,1,Y,Y,3,0
198,khirni@gmail.com,AU,AU,1629.08,0,Y,Y,1,1
199,qtxuet@yahoo.com,AU,AU,390.69,0,Y,Y,1,0
200,vllckj@outlook.com,IN,IN,318.35,0,N,Y,2,0
201,yelukj@yahoo.com,AU,AU,48.93,0,Y,Y,0,0
202,dfthpl@gmail.com,US,IN,200.36,1,Y,Y,4,0
203,jwxwzf@outlook.com,CA,CA,32.39,0,Y,N,2,1
204,rqfpdn@gmail.com,AU,AU,1521.9,0,Y,Y,4,0
205,akxagg@protonmail.com,AU,AU,97.36,1,Y,Y,4,0
206,lrcbpc@protonmail.com,UK,UK,94.25,0,Y,Y,6,0
207,bfqxio@gmail.com,CA,US,981.41,0,Y,Y,4,0
208,mwhton@protonmail.com,US,US,370.22,1,Y,Y,2,0
209,jkqofy@yahoo.com,IN,IN,203.73,0,Y,Y,0,0
210,vypmna@gmail.com,AU,AU,641.72,1,Y,Y,4,0
211,ybbxmm@outlook.com,UK,UK,541.73,0,Y,Y,2,0
212,mowjga@protonmail.com,US,US,127.58,0,Y,Y,5,0
213,rjulba@protonmail.com,UK,UK,389.89,0,Y,Y,4,0
214,ziuxrr@outlook.com,AU,AU,167.85,1,Y,N,2,0
215,ibabua@yahoo.com,UK,UK,183.57,1,Y,Y,0,0
216,pvlefn@gmail.com,AU,UK,25.62,0,Y,Y,1,0
217,palurx@gmail.com,IN,UK,1069.38,1,Y,Y,2,1
218,wmtvqk@protonmail.com,US,US,2445.45,1,Y,Y,2,1
219,chrnko@outlook.com,UK,UK,517.81,1,Y,Y,2,0
220,zcgvvb@yahoo.com,IN,IN,283.64,0,Y,Y,2,0
221,rsguvi@yahoo.com,US,US,320.95,1,N,Y,3,0
222,dfjocf@gmail.com,US,AU,87.88,0,N,Y,1,1
223,xjxqoy@outlook.com,AU,AU,124.37,0,Y,Y,1,0
224,fltlva@yahoo.com,AU,AU,343.46,0,N,Y,0,0
225,vicjxz@outlook.com,CA,IN,210.56,0,Y,Y,2,0
226,casvxl@outlook.com,US,US,1091.79,1,Y,Y,3,1
227,vuppbg@yahoo.com,IN,CA,154.04,0,Y,Y,0,0
228,nknknt@gmail.com,IN,CA,264.31,1,Y,Y,4,0
229,gfujdk@yahoo.com,CA,US,474.89,1,Y,Y,1,1
230,erkqgl@outlook.com,UK,UK,177.33,0,Y,Y,0,0
231,erclym@protonmail.com,US,US,607.82,1,Y,Y,2,0
232,qvjgxy@protonmail.com,AU,AU,797.76,1,N,Y,2,1
233,unboxe@gmail.com,AU,AU,544.72,0,Y,Y,1,0
234,wvnliw@gmail.com,CA,CA,475.89,0,Y,Y,2,0
235,tiomyz@protonmail.com,AU,UK,2011.63,0,Y,Y,1,1
236,nhhtjy@gmail.com,US,AU,34.15,0,Y,Y,2,0
237,yjtvpj@outlook.com,IN,AU,1424.78,0,N,Y,4,1
238,ppgevl@yahoo.com,CA,UK,383.06,0,Y,Y,1,0
239,okgcxs@gmail.com,AU,US,46.72,0,Y,N,2,1
240,eqszlf@gmail.com,UK,UK,251.21,1,N,Y,2,0
241,muzojf@protonmail.com,UK,US,310.43,0,Y,N,4,1
242,gyzjbd@gmail.com,CA,CA,963.34,1,Y,Y,4,1
243,wupfce@protonmail.com,AU,IN,665.59,0,Y,Y,5,1
244,ybbfzl@protonmail.com,CA,US,885.75,0,Y,Y,0,0
245,yfcpak@protonmail.com,US,US,341.4,0,N,Y,4,0
246,sgrlxk@gmail.com,US,US,126.48,1,Y,N,3,0
247,nshcem@yahoo.com,IN,IN,627.01,0,Y,Y,4,0
248,efecoo@yahoo.com,UK,UK,50.73,0,Y,Y,1,0
249,sscjsg@protonmail.com,AU,AU,180.22,0,Y,Y,1,0
250,jgcbnj@protonmail.com,UK,US,168.46,1,N,Y,3,1
251,iedami@yahoo.com,CA,CA,436.28,0,Y,Y,3,0
252,dmhdqn@outlook.com,UK,AU,583.22,1,Y,Y,1,0
253,zrbogo@gmail.com,IN,IN,328.95,0,Y,Y,0,1
254,ztzncl@gmail.com,US,US,41.59,0,Y,Y,1,0
255,zecdqo@protonmail.com,UK,UK,191.09,0,Y,Y,4,0
256,phjahd@yahoo.com,UK,CA,542.73,0,Y,Y,1,1
257,vhhwiv@gmail.com,CA,CA,514.0,1,Y,N,2,1
258,kequrt@protonmail.com,CA,CA,1433.86,0,Y,Y,1,1
259,yriwtg@gmail.com,UK,AU,676.62,0,Y,Y,2,0
260,hekhqo@outlook.com,IN,IN,177.49,0,Y,Y,2,0
261,jafxqj@gmail.com,IN,CA,1014.15,0,Y,Y,0,0
262,lolmnt@outlook.com,AU,IN,234.46,0,Y,Y,2,0
263,yjcrus@outlook.com,CA,CA,24.49,0,N,Y,3,1
264,bfqsro@outlook.com,CA,IN,681.66,1,Y,Y,0,0
265,lgjvre@protonmail.com,IN,IN,348.38,0,Y,Y,4,0
266,nvjywl@protonmail.com,CA,CA,248.38,0,Y,Y,1,0
267,cndmwp@yahoo.com,US,US,46.81,1,N,Y,3,0
268,mmbwnf@yahoo.com,CA,IN,458.28,1,Y,Y,3,0
269,ezwpqn@yahoo.com,CA,CA,1142.65,0,Y,Y,1,1
270,qxepkx@gmail.com,IN,IN,359.43,0,Y,Y,0,0
271,xqmtnf@protonmail.com,IN,IN,297.0,0,Y,Y,1,0
272,aajlch@protonmail.com,AU,AU,118.69,1,N,Y,3,0
273,cjrpqo@outlook.com,UK,US,458.2,1,Y,Y,6,1
274,slhede@outlook.com,IN,IN,514.29,0,Y,Y,1,1
275,njbfiw@yahoo.com,IN,IN,1192.84,0,Y,Y,3,0
276,tombrl@gmail.com,UK,UK,76.76,0,Y,N,1,0
277,hhxntm@protonmail.com,AU,AU,244.25,1,N,N,3,1
278,hmlhbd@outlook.com,AU,IN,115.71,1,Y,Y,1,1
279,sxbhka@outlook.com,AU,US,927.06,0,N,Y,2,1
280,bqkdpx@protonmail.com,CA,CA,1337.27,1,Y,Y,2,1
281,nqaydy@yahoo.com,IN,AU,201.27,1,Y,Y,0,0
282,tzbqwy@gmail.com,CA,CA,833.07,0,Y,Y,1,0
283,xmshtu@yahoo.com,UK,UK,169.37,0,Y,Y,1,0
284,nymvyq@yahoo.com,CA,CA,135.36,0,Y,Y,0,0
285,tggakq@yahoo.com,AU,AU,134.29,1,Y,Y,1,0
286,ulrezz@gmail.com,CA,IN,228.59,1,Y,N,3,1
287,vvupxf@yahoo.com,US,US,575.99,0,Y,Y,1,0
288,ukrvkc@gmail.com,CA,CA,660.34,0,Y,Y,5,0
289,drrizt@protonmail.com,US,US,607.5,1,Y,Y,1,0
290,trppuq@outlook.com,AU,AU,1342.63,0,Y,Y,3,0
291,thinyg@protonmail.com,CA,AU,567.37,1,Y,Y,4,0
292,wnzcdq@outlook.com,IN,UK,744.25,0,Y,Y,2,0
293,szagdb@outlook.com,IN,IN,522.6,1,Y,Y,3,0
294,pcukck@gmail.com,IN,IN,184.88,0,Y,Y,2,0
295,ckkfzh@gmail.com,IN,IN,275.14,1,Y,Y,4,0
296,odfwfw@yahoo.com,UK,AU,166.49,0,Y,N,0,1
297,ytthhz@protonmail.com,AU,UK,1608.22,0,Y,Y,2,1
298,sgumhi@gmail.com,US,US,160.72,0,Y,N,1,1
299,zxcqyr@yahoo.com,IN,IN,178.77,0,Y,Y,2,0
300,fxlqth@outlook.com,IN,IN,162.3,0,Y,N,0,1
301,xyftun@yahoo.com,AU,AU,620.23,1,Y,Y,3,0
302,brvjck@protonmail.com,AU,AU,249.15,1,Y,Y,1,1
303,grnhum@outlook.com,IN,IN,63.74,1,N,Y,1,0
304,vtdtoa@gmail.com,CA,IN,583.38,0,Y,Y,1,1
305,wlsthy@outlook.com,US,CA,162.12,0,Y,Y,3,0
306,hupegd@protonmail.com,US,US,120.57,0,Y,Y,1,0
307,sskdtr@protonmail.com,US,US,415.17,0,Y,Y,4,0
308,apxxik@gmail.com,AU,AU,491.55,1,Y,Y,1,0
309,otydpy@outlook.com,IN,IN,334.29,0,Y,N,0,0
310,gyiltr@protonmail.com,AU,AU,98.19,0,Y,Y,4,0
311,znbrdf@yahoo.com,IN,IN,149.43,0,Y,Y,3,0
312,dkwkph@yahoo.com,AU,AU,960.52,0,Y,Y,1,0
313,doejbg@gmail.com,UK,UK,838.82,1,Y,Y,1,0
314,uavowl@yahoo.com,IN,US,76.27,0,Y,Y,2,1
315,cosmlz@outlook.com,IN,CA,101.55,1,Y,Y,0,0
316,pbbwng@outlook.com,AU,US,46.76,0,Y,Y,4,0
317,svioln@protonmail.com,UK,UK,565.02,0,Y,Y,3,0
318,mtienf@yahoo.com,UK,CA,550.05,0,Y,Y,1,0
319,hurmcm@yahoo.com,AU,CA,728.24,0,Y,Y,2,0
320,kfyzmn@protonmail.com,IN,IN,318.7,0,Y,Y,3,0
321,kaifky@protonmail.com,UK,UK,752.28,1,Y,Y,4,0
322,egwfcg@outlook.com,IN,IN,275.7,1,Y,Y,1,0
323,mavhcj@gmail.com,CA,US,227.61,0,Y,Y,1,0
324,nhmtze@gmail.com,UK,CA,754.48,1,Y,Y,5,1
325,vaccfg@gmail.com,UK,UK,455.97,1,Y,Y,7,1
326,zrhwvc@outlook.com,US,US,162.2,0,Y,Y,1,0
327,npwkoh@gmail.com,IN,IN,113.67,0,Y,Y,3,0
328,oobjvd@yahoo.com,CA,CA,196.54,0,Y,Y,1,0
329,klpmec@protonmail.com,AU,AU,779.18,1,Y,Y,0,0
330,afsunf@protonmail.com,UK,AU,155.24,0,Y,Y,1,0
331,curblv@outlook.com,UK,UK,1046.9,1,Y,N,4,1
332,mjrllj@protonmail.com,AU,AU,144.38,0,Y,Y,0,0
333,ltywxe@gmail.com,US,US,395.81,0,Y,Y,0,0
334,afbltv@protonmail.com,US,CA,836.63,0,Y,Y,5,1
335,ziskva@protonmail.com,AU,AU,136.96,0,N,N,2,1
336,wudecz@protonmail.com,IN,IN,44.67,0,Y,Y,2,0
337,fedwma@gmail.com,IN,IN,557.51,0,Y,Y,2,0
338,zdkmzz@outlook.com,IN,IN,103.7,0,Y,Y,5,1
339,jnesyi@protonmail.com,US,UK,402.52,0,N,Y,2,1
340,ztdtxi@gmail.com,IN,IN,977.78,1,Y,Y,3,1
341,hgpdpz@outlook.com,AU,AU,2671.29,0,N,Y,3,0
342,vzfvlx@yahoo.com,CA,CA,881.41,1,Y,Y,0,1
343,ppyigh@gmail.com,CA,UK,304.94,0,Y,Y,2,0
344,zddcog@yahoo.com,CA,CA,197.71,0,Y,Y,1,0
345,raldqy@protonmail.com,US,IN,126.36,1,Y,Y,1,0
346,plalhd@gmail.com,UK,UK,752.89,0,Y,Y,1,0
347,swlcnu@yahoo.com,AU,AU,58.63,0,Y,Y,0,0
348,zeilck@yahoo.com,IN,IN,515.11,1,Y,Y,5,1
349,dsijoe@gmail.com,UK,UK,325.28,0,Y,Y,2,0
350,ztypwx@protonmail.com,CA,IN,1381.27,0,Y,Y,2,1
351,acjvtp@yahoo.com,IN,IN,507.68,0,Y,Y,1,0
352,irxkfh@gmail.com,US,US,1596.85,0,Y,Y,2,0
353,cvzqxc@gmail.com,UK,UK,735.17,0,Y,Y,2,0
354,ivbgrx@protonmail.com,UK,UK,94.22,0,Y,Y,2,0
355,ykflsb@yahoo.com,IN,CA,142.4,1,Y,Y,1,0
356,rllvws@yahoo.com,IN,IN,680.28,0,Y,Y,0,0
357,ntzxfw@gmail.com,IN,IN,341.54,0,N,Y,1,0
358,kocexv@protonmail.com,IN,IN,98.82,0,Y,Y,0,0
359,bbynnp@protonmail.com,CA,AU,441.79,0,Y,Y,3,0
360,ywnfjk@yahoo.com,IN,IN,1211.2,0,Y,Y,3,1
361,utwykq@gmail.com,US,CA,1485.6,1,N,Y,2,1
362,snhkxv@yahoo.com,AU,AU,1507.98,0,Y,Y,3,1
363,aqwfow@outlook.com,IN,IN,156.14,0,Y,N,1,0
364,hcchsr@protonmail.com,IN,IN,333.28,0,Y,Y,6,1
365,avykzo@yahoo.com,IN,UK,510.15,0,Y,Y,4,0
366,khllbh@gmail.com,CA,CA,819.9,0,Y,Y,2,0
367,oyvxzc@yahoo.com,UK,UK,100.83,0,Y,N,4,0
368,pakxeb@outlook.com,CA,CA,198.07,0,Y,Y,0,0
369,khpjhj@protonmail.com,UK,UK,76.87,1,Y,Y,2,0
370,shfcht@protonmail.com,IN,US,397.67,0,N,Y,3,1
371,gtisfc@protonmail.com,US,CA,44.39,1,Y,Y,2,0
372,drzyne@yahoo.com,IN,IN,214.42,0,Y,Y,1,0
373,xrpfuh@protonmail.com,UK,UK,847.22,0,Y,Y,3,0
374,fzjdlb@protonmail.com,UK,IN,310.47,0,Y,Y,3,0
375,thjyds@protonmail.com,US,UK,446.96,1,Y,Y,2,0
376,pwjbkt@yahoo.com,AU,AU,152.67,0,Y,Y,2,0
377,rstmhc@outlook.com,US,CA,96.75,1,Y,Y,2,0
378,vqqxle@yahoo.com,IN,IN,132.06,1,N,N,3,1
379,slknzj@outlook.com,US,US,271.74,1,Y,Y,4,0
380,amctjq@yahoo.com,UK,UK,344.78,0,Y,Y,0,0
381,gdwbry@outlook.com,CA,IN,1744.84,1,Y,Y,4,0
382,sgdjiy@yahoo.com,AU,IN,436.32,1,Y,Y,2,1
383,ahjsbu@gmail.com,IN,IN,375.8,0,Y,Y,3,0
384,kzweya@gmail.com,AU,AU,435.09,0,Y,Y,2,0
